epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.0993,1.84341,2.20249,1.48663,0.59539,0.51995,0.51704,0.23985,1.72407,1.93598,1.36094,0.000396522,0.000396522,0.000396522
2,62.4394,1.60228,1.3751,1.296,0.65382,0.66725,0.66635,0.36739,1.58598,1.40408,1.31276,0.000788564,0.000788564,0.000788564
3,91.1958,1.61416,1.30025,1.30974,0.65711,0.53573,0.6209,0.34122,1.82408,1.85898,1.49964,0.00117262,0.00117262,0.00117262
4,119.368,1.58212,1.16934,1.28805,0.66315,0.62429,0.67448,0.33512,1.8548,1.94695,1.45031,0.00154867,0.00154867,0.00154867
5,146.065,1.57612,1.15949,1.29088,0.68509,0.73564,0.77707,0.44125,1.53086,1.24612,1.28235,0.00191674,0.00191674,0.00191674
6,171.092,1.54599,1.08226,1.27844,0.76486,0.55327,0.63106,0.2994,1.93485,1.65283,1.50925,0.0019001,0.0019001,0.0019001
7,196.365,1.52245,1.05807,1.26079,0.75973,0.68479,0.75347,0.43164,1.52916,1.28197,1.26633,0.00188012,0.00188012,0.00188012
8,222.577,1.49345,1.03085,1.25845,0.77584,0.73915,0.80764,0.4527,1.55506,1.00606,1.27957,0.00186014,0.00186014,0.00186014
9,248.651,1.45396,0.97182,1.23371,0.76519,0.76002,0.81815,0.48264,1.49145,1.01696,1.27326,0.00184016,0.00184016,0.00184016
10,274.107,1.44543,0.95508,1.23107,0.82001,0.82025,0.8732,0.52584,1.40783,0.90861,1.20441,0.00182018,0.00182018,0.00182018
11,300.029,1.43483,0.94902,1.20715,0.84767,0.80096,0.87833,0.52911,1.48045,0.87668,1.23363,0.0018002,0.0018002,0.0018002
12,324.35,1.41877,0.93356,1.19881,0.84021,0.81762,0.87809,0.52899,1.40867,0.88391,1.21526,0.00178022,0.00178022,0.00178022
13,348.853,1.39764,0.89884,1.20112,0.70571,0.67207,0.73005,0.4495,1.42983,1.26223,1.23424,0.00176024,0.00176024,0.00176024
14,372.548,1.38592,0.8935,1.19466,0.86393,0.78773,0.87053,0.51967,1.42738,0.90452,1.20546,0.00174026,0.00174026,0.00174026
15,396.653,1.37253,0.87391,1.18151,0.86105,0.79088,0.88397,0.53405,1.37076,0.8454,1.18363,0.00172028,0.00172028,0.00172028
16,420.745,1.36648,0.85478,1.18417,0.86986,0.78533,0.87193,0.56215,1.3123,0.85543,1.14916,0.0017003,0.0017003,0.0017003
