epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1216.58,1.04714,0.58246,1.03572,0.95567,0.92372,0.97721,0.72994,1.0036,0.50742,1.00257,0.00118082,0.00118082,0.00118082
43,1244.95,1.04457,0.57742,1.03526,0.95922,0.93512,0.98112,0.73297,1.00255,0.49922,1.00409,0.00116084,0.00116084,0.00116084
44,1273.3,1.03203,0.57075,1.03355,0.94522,0.93052,0.97554,0.70389,1.06182,0.51067,1.02712,0.00114086,0.00114086,0.00114086
45,1301.74,1.03404,0.57363,1.02577,0.96146,0.92196,0.97503,0.70805,1.03619,0.50651,1.02013,0.00112088,0.00112088,0.00112088
46,1329.81,1.04237,0.585,1.04153,0.9518,0.92854,0.97616,0.70421,1.08871,0.52011,1.04546,0.0011009,0.0011009,0.0011009
47,1357.91,1.01667,0.5641,1.02211,0.96166,0.91279,0.97746,0.6984,1.10103,0.51824,1.03629,0.00108092,0.00108092,0.00108092
48,1388.23,1.01456,0.56413,1.02,0.95545,0.93092,0.97643,0.71539,1.02292,0.50554,1.00528,0.00106094,0.00106094,0.00106094
49,1423.24,1.01416,0.5669,1.02586,0.95268,0.93292,0.97596,0.72789,1.00869,0.48889,1.00446,0.00104096,0.00104096,0.00104096
50,1454.72,1.01768,0.56919,1.03101,0.94939,0.93756,0.97757,0.70859,1.04799,0.50231,1.01085,0.00102098,0.00102098,0.00102098
51,1483.04,0.97628,0.54677,1.01733,0.95897,0.92218,0.97568,0.71637,1.05611,0.50084,1.02294,0.001001,0.001001,0.001001
52,1511.56,1.00548,0.561,1.01902,0.94715,0.92722,0.97716,0.707,1.07246,0.51091,1.02668,0.00098102,0.00098102,0.00098102
53,1539.56,0.98949,0.55237,1.01059,0.97008,0.92635,0.98088,0.71911,1.02651,0.4783,1.00553,0.00096104,0.00096104,0.00096104
54,1567.13,0.95268,0.53323,1.00319,0.96551,0.93264,0.97774,0.73327,0.96512,0.47309,0.98414,0.00094106,0.00094106,0.00094106
55,1595.2,0.96592,0.53402,1.00527,0.95921,0.93161,0.97679,0.74932,0.94537,0.48314,0.9793,0.00092108,0.00092108,0.00092108
56,1624,0.96055,0.53378,1.00834,0.96141,0.93775,0.9835,0.74527,0.95104,0.47168,0.97836,0.0009011,0.0009011,0.0009011
57,1651.31,0.96689,0.53513,1.00932,0.96909,0.93453,0.98197,0.75138,0.94756,0.46528,0.97691,0.00088112,0.00088112,0.00088112
58,1679.05,0.95248,0.53197,1.00717,0.96127,0.93581,0.98091,0.73291,1.02038,0.48436,1.00414,0.00086114,0.00086114,0.00086114
59,1707.23,0.95152,0.53449,1.00829,0.9726,0.93383,0.98082,0.75974,0.90844,0.45611,0.96426,0.00084116,0.00084116,0.00084116
